threshold_A,threshold_B,accuracy,balanced_accuracy,valid_physical_pair,n,tp,tn,fp,fn
0.055,-0.105,0.8104,0.5447500000000001,True,2500,1975.0,51.0,449.0,25.0
0.055,-0.095,0.812,0.5457500000000001,True,2500,1979.0,51.0,449.0,21.0
0.055,-0.085,0.8132,0.5465,True,2500,1982.0,51.0,449.0,18.0
0.055,-0.075,0.8136,0.5467500000000001,True,2500,1983.0,51.0,449.0,17.0
0.055,-0.065,0.814,0.547,True,2500,1984.0,51.0,449.0,16.0
0.055,-0.055,0.8152,0.5477500000000001,True,2500,1987.0,51.0,449.0,13.0
0.055,-0.045,0.816,0.54825,True,2500,1989.0,51.0,449.0,11.0
0.055,-0.035,0.8172,0.549,True,2500,1992.0,51.0,449.0,8.0
0.055,-0.025,0.8176,0.54925,True,2500,1993.0,51.0,449.0,7.0
0.055,-0.015,0.8188,0.55,True,2500,1996.0,51.0,449.0,4.0
0.055,-0.005,0.8192,0.55025,True,2500,1997.0,51.0,449.0,3.0
0.055,0.005,0.8192,0.55025,True,2500,1997.0,51.0,449.0,3.0
0.055,0.015,0.8192,0.55025,True,2500,1997.0,51.0,449.0,3.0
0.055,0.025,0.8188,0.54925,True,2500,1997.0,50.0,450.0,3.0
0.055,0.035,0.8188,0.5485,True,2500,1998.0,49.0,451.0,2.0
0.055,0.045,0.8128,0.532,True,2500,2000.0,32.0,468.0,0.0
0.055,0.055,,0.0,False,2500,,,,
0.055,0.065,,0.0,False,2500,,,,
0.055,0.075,,0.0,False,2500,,,,
0.055,0.085,,0.0,False,2500,,,,
0.065,-0.125,0.8464,0.6505,True,2500,1954.0,162.0,338.0,46.0
0.065,-0.115,0.8468,0.65075,True,2500,1955.0,162.0,338.0,45.0
0.065,-0.105,0.8484,0.65175,True,2500,1959.0,162.0,338.0,41.0
0.065,-0.095,0.85,0.65275,True,2500,1963.0,162.0,338.0,37.0
0.065,-0.085,0.8516,0.65375,True,2500,1967.0,162.0,338.0,33.0
0.065,-0.075,0.8528,0.6545,True,2500,1970.0,162.0,338.0,30.0
0.065,-0.065,0.854,0.65525,True,2500,1973.0,162.0,338.0,27.0
0.065,-0.055,0.8556,0.65625,True,2500,1977.0,162.0,338.0,23.0
0.065,-0.045,0.8568,0.657,True,2500,1980.0,162.0,338.0,20.0
0.065,-0.035,0.8584,0.658,True,2500,1984.0,162.0,338.0,16.0
0.065,-0.025,0.8588,0.65825,True,2500,1985.0,162.0,338.0,15.0
0.065,-0.015,0.8612,0.6597500000000001,True,2500,1991.0,162.0,338.0,9.0
0.065,-0.005,0.8616,0.66,True,2500,1992.0,162.0,338.0,8.0
0.065,0.005,0.8616,0.66,True,2500,1992.0,162.0,338.0,8.0
0.065,0.015,0.862,0.66025,True,2500,1993.0,162.0,338.0,7.0
0.065,0.025,0.862,0.6595,True,2500,1994.0,161.0,339.0,6.0
0.065,0.035,0.86,0.65375,True,2500,1995.0,155.0,345.0,5.0
0.065,0.045,0.8476,0.6212500000000001,True,2500,1997.0,122.0,378.0,3.0
0.065,0.055,0.8236,0.56125,True,2500,1997.0,62.0,438.0,3.0
0.065,0.065,,0.0,False,2500,,,,
0.065,0.075,,0.0,False,2500,,,,
0.065,0.085,,0.0,False,2500,,,,
0.075,-0.125,0.9036,0.80775,True,2500,1935.0,324.0,176.0,65.0
0.075,-0.115,0.9048,0.8085,True,2500,1938.0,324.0,176.0,62.0
0.075,-0.105,0.9064,0.8095,True,2500,1942.0,324.0,176.0,58.0
0.075,-0.095,0.9084,0.8107500000000001,True,2500,1947.0,324.0,176.0,53.0
0.075,-0.085,0.9108,0.81225,True,2500,1953.0,324.0,176.0,47.0
0.075,-0.075,0.9124,0.81325,True,2500,1957.0,324.0,176.0,43.0
0.075,-0.065,0.914,0.81425,True,2500,1961.0,324.0,176.0,39.0
0.075,-0.055,0.9164,0.81575,True,2500,1967.0,324.0,176.0,33.0
0.075,-0.045,0.9184,0.817,True,2500,1972.0,324.0,176.0,28.0
0.075,-0.035,0.9204,0.81825,True,2500,1977.0,324.0,176.0,23.0
0.075,-0.025,0.9208,0.8185,True,2500,1978.0,324.0,176.0,22.0
0.075,-0.015,0.9232,0.8200000000000001,True,2500,1984.0,324.0,176.0,16.0
0.075,-0.005,0.9236,0.82025,True,2500,1985.0,324.0,176.0,15.0
0.075,0.005,0.9236,0.82025,True,2500,1985.0,324.0,176.0,15.0
0.075,0.015,0.9244,0.8207500000000001,True,2500,1987.0,324.0,176.0,13.0
0.075,0.025,0.924,0.819,True,2500,1988.0,322.0,178.0,12.0
0.075,0.035,0.9212,0.8105,True,2500,1990.0,313.0,187.0,10.0
0.075,0.045,0.9024,0.762,True,2500,1992.0,264.0,236.0,8.0
0.075,0.055,0.8696,0.67925,True,2500,1993.0,181.0,319.0,7.0
0.075,0.065,0.8264,0.56825,True,2500,1997.0,69.0,431.0,3.0
0.075,0.075,,0.0,False,2500,,,,
0.075,0.085,,0.0,False,2500,,,,
0.085,-0.125,0.938,0.9155,True,2500,1906.0,439.0,61.0,94.0
0.085,-0.115,0.94,0.91675,True,2500,1911.0,439.0,61.0,89.0
0.085,-0.105,0.9424,0.91825,True,2500,1917.0,439.0,61.0,83.0
0.085,-0.095,0.9452,0.92,True,2500,1924.0,439.0,61.0,76.0
0.085,-0.085,0.948,0.92175,True,2500,1931.0,439.0,61.0,69.0
0.085,-0.075,0.9496,0.92275,True,2500,1935.0,439.0,61.0,65.0
0.085,-0.065,0.952,0.92425,True,2500,1941.0,439.0,61.0,59.0
0.085,-0.055,0.956,0.92675,True,2500,1951.0,439.0,61.0,49.0
0.085,-0.045,0.958,0.928,True,2500,1956.0,439.0,61.0,44.0
0.085,-0.035,0.96,0.92925,True,2500,1961.0,439.0,61.0,39.0
0.085,-0.025,0.9604,0.9295,True,2500,1962.0,439.0,61.0,38.0
0.085,-0.015,0.9632,0.93125,True,2500,1969.0,439.0,61.0,31.0
0.085,-0.005,0.9636,0.9315,True,2500,1970.0,439.0,61.0,30.0
0.085,0.005,0.964,0.93175,True,2500,1971.0,439.0,61.0,29.0
0.085,0.015,0.9648,0.93225,True,2500,1973.0,439.0,61.0,27.0
0.085,0.025,0.964,0.92875,True,2500,1975.0,435.0,65.0,25.0
