threshold_A,threshold_B,valid_physical_pair,n,predicted_leakage,predicted_no_leakage,no_leakage_between_A_B,accuracy,precision,recall,f1,tn,fp,fn,tp,balanced_accuracy
0.115,0.015,True,2500,1892.0,608.0,608.0,0.9512,0.9963002114164905,0.9425,0.9686536485097635,493.0,7.0,115.0,1885.0,0.96425
0.095,-0.095,True,2500,1917.0,583.0,583.0,0.9508,0.989567031820553,0.9485,0.9685984171559867,480.0,20.0,103.0,1897.0,0.95425
0.115,0.005,True,2500,1890.0,610.0,610.0,0.9504,0.9962962962962963,0.9415,0.9681233933161953,493.0,7.0,117.0,1883.0,0.96375
0.085,-0.075,True,2500,1996.0,504.0,504.0,0.9496,0.9694388777555111,0.9675,0.9684684684684686,439.0,61.0,65.0,1935.0,0.92275
0.115,-0.005,True,2500,1885.0,615.0,615.0,0.9484,0.9962864721485412,0.939,0.9667953667953667,493.0,7.0,122.0,1878.0,0.9624999999999999
0.095,0.045,True,2500,2078.0,422.0,422.0,0.948,0.9499518768046198,0.987,0.9681216282491417,396.0,104.0,26.0,1974.0,0.8895
0.085,-0.085,True,2500,1992.0,508.0,508.0,0.948,0.9693775100401606,0.9655,0.967434869739479,439.0,61.0,69.0,1931.0,0.9217500000000001
0.115,0.035,True,2500,1931.0,569.0,569.0,0.9476,0.983946141895391,0.95,0.9666751462732129,469.0,31.0,100.0,1900.0,0.944
0.115,-0.015,True,2500,1883.0,617.0,617.0,0.9476,0.9962825278810409,0.938,0.9662631985578161,493.0,7.0,124.0,1876.0,0.962
0.105,-0.065,True,2500,1884.0,616.0,616.0,0.9472,0.9957537154989384,0.938,0.9660144181256437,492.0,8.0,124.0,1876.0,0.961
0.095,-0.105,True,2500,1906.0,594.0,594.0,0.9464,0.9895068205666316,0.943,0.9656938044034818,480.0,20.0,114.0,1886.0,0.9515
0.085,-0.095,True,2500,1985.0,515.0,515.0,0.9452,0.9692695214105793,0.962,0.9656210790464241,439.0,61.0,76.0,1924.0,0.9199999999999999
0.115,-0.025,True,2500,1873.0,627.0,627.0,0.9436,0.996262680192205,0.933,0.9635941130906274,493.0,7.0,134.0,1866.0,0.9595
0.095,-0.115,True,2500,1898.0,602.0,602.0,0.9432,0.9894625922023182,0.939,0.9635710620831195,480.0,20.0,122.0,1878.0,0.9495
0.105,0.045,True,2500,2045.0,455.0,455.0,0.9428,0.9540342298288509,0.9755,0.9646477132262052,406.0,94.0,49.0,1951.0,0.89375
0.085,-0.105,True,2500,1978.0,522.0,522.0,0.9424,0.9691607684529828,0.9585,0.9638009049773756,439.0,61.0,83.0,1917.0,0.91825
0.105,-0.075,True,2500,1872.0,628.0,628.0,0.9424,0.9957264957264957,0.932,0.962809917355372,492.0,8.0,136.0,1864.0,0.958
0.115,-0.035,True,2500,1869.0,631.0,631.0,0.942,0.9962546816479401,0.931,0.9625226156629619,493.0,7.0,138.0,1862.0,0.9585
0.095,-0.125,True,2500,1892.0,608.0,608.0,0.9408,0.9894291754756871,0.936,0.9619732785200411,480.0,20.0,128.0,1872.0,0.948
0.085,0.045,True,2500,2122.0,378.0,378.0,0.94,0.9359095193213949,0.993,0.9636098981077147,364.0,136.0,14.0,1986.0,0.8605
0.085,-0.115,True,2500,1972.0,528.0,528.0,0.94,0.9690669371196755,0.9555,0.9622356495468278,439.0,61.0,89.0,1911.0,0.91675
0.105,-0.085,True,2500,1865.0,635.0,635.0,0.9396,0.995710455764075,0.9285,0.9609314359637776,492.0,8.0,143.0,1857.0,0.95625
0.125,0.025,True,2500,1861.0,639.0,639.0,0.9396,0.9967759269210102,0.9275,0.9608909608909608,494.0,6.0,145.0,1855.0,0.95775
