samples_per_class,training_samples,repeat,split,accuracy,balanced_accuracy,macro_f1
250,1000,8,independent_test,0.985,0.985,0.9849483546733337
250,1000,9,validation,0.975,0.975,0.9750105793434506
250,1000,9,independent_test,0.9825,0.9824999999999999,0.982487249681242
250,1000,10,validation,0.97,0.97,0.9701164658711012
250,1000,10,independent_test,0.9875,0.9875,0.9874619327604401
300,1200,1,validation,0.975,0.975,0.9750723838611832
300,1200,1,independent_test,0.9875,0.9875,0.9874619327604401
300,1200,2,validation,0.975,0.975,0.9750723838611832
300,1200,2,independent_test,0.9875,0.9875,0.9874619327604401
300,1200,3,validation,0.975,0.975,0.9750723838611832
300,1200,3,independent_test,0.9875,0.9875,0.9874619327604401
300,1200,4,validation,0.975,0.975,0.9750723838611832
300,1200,4,independent_test,0.9875,0.9875,0.9874619327604401
300,1200,5,validation,0.975,0.975,0.9750723838611832
300,1200,5,independent_test,0.9875,0.9875,0.9874619327604401
300,1200,6,validation,0.975,0.975,0.9750723838611832
300,1200,6,independent_test,0.9875,0.9875,0.9874619327604401
300,1200,7,validation,0.975,0.975,0.9750723838611832
300,1200,7,independent_test,0.9875,0.9875,0.9874619327604401
300,1200,8,validation,0.975,0.975,0.9750723838611832
300,1200,8,independent_test,0.9875,0.9875,0.9874619327604401
300,1200,9,validation,0.975,0.975,0.9750723838611832
300,1200,9,independent_test,0.9875,0.9875,0.9874619327604401
300,1200,10,validation,0.975,0.975,0.9750723838611832
300,1200,10,independent_test,0.9875,0.9875,0.9874619327604401
